sku,price_per_box,supervisor_target_boxes,brand_name_thai,brand_name_english,product_name_thai
326413,2771.0,46,ซิสเท็มมา,Systema,ซิสเท็มมาแปรงเอ็กซ์แอลนุ่มพิเศษ แพ็ค3แถม1
313718,1492.6,5,ซิสเท็มมา,Systema,ซิสเท็มมายาสีฟันแคร์แอนด์โพรเทคสปริงมินต์140ก.Pคู่
313791,1492.6,5,ซิสเท็มมา,Systema,ซิสเท็มมายาสีฟันแคร์แอนด์โพรเทคแม็กซี่140ก.Pคู่
313668,1492.6,5,ซิสเท็มมา,Systema,ซิสเท็มมายาสีฟันแคร์แอนด์โพรเทคไอซีมินต์140ก.Pคู่
313759,1492.6,5,ซิสเท็มมา,Systema,ซิสเท็มมายาสีฟันแคร์แอนด์โพรเทคเชอร์รี่140ก.Pคู่
313866,1797.75,18,ซิสเท็มมา,Systema,ซิสเท็มมายาสีฟันอัลตร้าแคร์โพรเทคไอซีมินต์140P3
313874,1571.12,13,ซิสเท็มมา,Systema,ซิสเท็มมายาสีฟันอัลตร้าแคร์โพรเทคสปริงมินต์140P3
313882,1797.75,7,ซิสเท็มมา,Systema,ซิสเท็มมายาสีฟันอัลตร้าแคร์โพรเทคเชอร์รี่140P3
313890,1790.94,5,ซิสเท็มมา,Systema,ซิสเท็มมายาสีฟันอัลตร้าแคร์โพรเทคแม็กซี่140P3
397000,1028.49,12,ซิสเท็มมา,Systema,ซิสเท็มมาบ้วนปากแจเปนนิสเชอร์รี่250มล.
397018,1028.5,10,ซิสเท็มมา,Systema,ซิสเท็มมาบ้วนปากเฟรชฟอร์เรสด์เขียว250มล.
397026,1028.49,15,ซิสเท็มมา,Systema,ซิสเท็มมาบ้วนปากคูลคาริบเบียนฟ้า250มล.
340000,1357.24,81,ซิสเท็มมา,Systema,ซิสเท็มมาไหมขัดฟันซิลค์กี้ฟลอส
378893,1410.98,26,โคโดโม,Kodomo,โคโดโม เฮดทูโท มายด์ออริจินอล แคร์แบร์350มล
378273,518.49,102,โคโดโม,Kodomo,โคโดโมเฮดทูโทวอชพิ้งค์ฮานาบากิ100มล.
378877,518.49,906,โคโดโม,Kodomo,โคโดโม เฮดทูโท มายด์ออริจินอล แคร์แบร์100มล
378927,518.5,245,โคโดโม,Kodomo,โคโดโม เฮดทูโท พิ้งค์ฮานาบากิ แคร์แบร์100มล
378760,934.63,26,โคโดโม,Kodomo,โคโดโม เฮดทูโท โอลีฟออยล์ แคร์แบร์180มล
378935,933.0,171,โคโดโม,Kodomo,โคโดโม เฮดทูโท พิ้งค์ฮานาบากิ แคร์แบร์200มล
375055,934.92,111,โคโดโม,Kodomo,โคโดโมเฮดทูโท โอลีฟออยล์ แคร์แบร์ 180มล+90มล
378752,518.5,50,โคโดโม,Kodomo,โคโดโม เฮดทูโท โอลีฟ ออยล์แคร์แบร์90มล.
378778,1411.0,5,โคโดโม,Kodomo,โคโดโม เฮดทูโท โอลีฟออยล์ แคร์แบร์320มล
378943,1411.0,5,โคโดโม,Kodomo,โคโดโม เฮดทูโท พิ้งค์ฮานาบากิ แคร์แบร์350มล
378885,935.0,758,โคโดโม,Kodomo,โคโดโม เฮดทูโท มายด์ออริจินอล แคร์แบร์ 200มล
375030,935.0,79,โคโดโม,Kodomo,โคโดโมเฮดทูโท มายด์ออริจินอล แคร์แบร์ 200มล+100มล
375048,935.0,92,โคโดโม,Kodomo,โคโดโมเฮดทูโท พิงค์ฮานาบากิ แคร์แบร์ 200มล+100มล
394361,809.2,5,โคโดโม,Kodomo,โคโดโมน้ำยาบ้วนปากฟรุ๊ตตี้คูลมิ้นต์ดาบพิฆาต250มล.
394346,809.2,6,โคโดโม,Kodomo,โคโดโมน้ำยาบ้วนปากสตรอเบอร์รี่ดาบพิฆาต250มล.
394353,809.2,5,โคโดโม,Kodomo,โคโดโมน้ำยาบ้วนปากรสส้มดาบพิฆาตอสูร250มล.
